Generating simulation configurations...
Running 200 simulations...
Running configuration 98/200: Belt Length=14, Workers=14, Strategy='team'
Running configuration 99/200: Belt Length=15, Workers=2, Strategy='individual'
Running configuration 100/200: Belt Length=15, Workers=2, Strategy='team'
Running configuration 101/200: Belt Length=15, Workers=4, Strategy='individual'
Running configuration 102/200: Belt Length=15, Workers=4, Strategy='team'
Running configuration 103/200: Belt Length=15, Workers=6, Strategy='individual'
Running configuration 104/200: Belt Length=15, Workers=6, Strategy='team'
Running configuration 105/200: Belt Length=15, Workers=8, Strategy='individual'
Running configuration 106/200: Belt Length=15, Workers=8, Strategy='team'
Running configuration 107/200: Belt Length=15, Workers=10, Strategy='individual'
Running configuration 108/200: Belt Length=15, Workers=10, Strategy='team'
Running configuration 109/200: Belt Length=15, Workers=12, Strategy='individual'
Running configuration 110/200: Belt Length=15, Workers=12, Strategy='team'
Running configuration 111/200: Belt Length=15, Workers=14, Strategy='individual'
Running configuration 112/200: Belt Length=15, Workers=14, Strategy='team'
Running configuration 113/200: Belt Length=16, Workers=2, Strategy='individual'
Running configuration 114/200: Belt Length=16, Workers=2, Strategy='team'
Running configuration 115/200: Belt Length=16, Workers=4, Strategy='individual'
Running configuration 116/200: Belt Length=16, Workers=4, Strategy='team'
Running configuration 117/200: Belt Length=16, Workers=6, Strategy='individual'
Running configuration 118/200: Belt Length=16, Workers=6, Strategy='team'
Running configuration 119/200: Belt Length=16, Workers=8, Strategy='individual'
Running configuration 120/200: Belt Length=16, Workers=8, Strategy='team'
Running configuration 121/200: Belt Length=16, Workers=10, Strategy='individual'
Running configuration 122/200: Belt Length=16, Workers=10, Strategy='team'
Running configuration 123/200: Belt Length=16, Workers=12, Strategy='individual'
Running configuration 124/200: Belt Length=16, Workers=12, Strategy='team'
Running configuration 125/200: Belt Length=16, Workers=14, Strategy='individual'
Running configuration 126/200: Belt Length=16, Workers=14, Strategy='team'
Running configuration 127/200: Belt Length=16, Workers=16, Strategy='individual'
Running configuration 128/200: Belt Length=16, Workers=16, Strategy='team'
Running configuration 129/200: Belt Length=17, Workers=2, Strategy='individual'
Running configuration 130/200: Belt Length=17, Workers=2, Strategy='team'
Running configuration 131/200: Belt Length=17, Workers=4, Strategy='individual'
Running configuration 132/200: Belt Length=17, Workers=4, Strategy='team'
Running configuration 133/200: Belt Length=17, Workers=6, Strategy='individual'
Running configuration 134/200: Belt Length=17, Workers=6, Strategy='team'
Running configuration 135/200: Belt Length=17, Workers=8, Strategy='individual'
Running configuration 136/200: Belt Length=17, Workers=8, Strategy='team'
Running configuration 137/200: Belt Length=17, Workers=10, Strategy='individual'
Running configuration 138/200: Belt Length=17, Workers=10, Strategy='team'
